Superposition_Category,Input_Coherence_C_in,F18_Output_Purity,F18_Output_Coherence,F19A_Output_Purity,F19A_Output_Coherence,Coherence_Gain_F19_over_F18,Conserved_Coherence_Survives
Cat 1: Same Output (F(0)=F(1)=0),1.0000,1.0000,0.0000,1.0000,0.0000,+0.0000,NO
"Cat 2: Different Output (F(0)=0, F(5)=5)",1.0000,0.5000,0.0000,1.0000,1.0000,+1.0000,YES
"Cat 3: Same Conserved Moments, Diff Non-Eq (F(0)=F(2)=0)",1.0000,1.0000,0.0000,1.0000,0.0000,+0.0000,NO
"Cat 4: Different Conserved Moments (F(0)=0, F(3)=3)",1.0000,0.5000,0.0000,1.0000,1.0000,+1.0000,YES
Cat 5: Same Equilibrium (F(3)=F(4)=3),1.0000,1.0000,0.0000,1.0000,0.0000,+0.0000,NO
"Cat 6: Different Equilibrium (F(5)=5, F(6)=6)",1.0000,0.5000,0.0000,1.0000,1.0000,+1.0000,YES
Multi-State 3-State Degenerate (|0>+|1>+|2>)/sqrt(3),2.0000,1.0000,0.0000,1.0000,0.0000,+0.0000,NO
Multi-State 4-State Mixed (|0>+|1>+|3>+|4>)/2,3.0000,0.5000,0.0000,1.0000,1.0000,+1.0000,YES
Multi-State 8-State Full Superposition,7.0000,0.2500,-0.0000,0.6562,2.7500,+2.7500,YES
