technique,raw_fidelity,mitigated_fidelity,delta_fidelity,raw_tvd,mitigated_tvd,delta_tvd,raw_density_error,mitigated_density_error,overhead
Raw Output (Unmitigated),0.954,0.954,0.0,0.031,0.031,0.0,0.031,0.031,1.0
Readout Error Mitigation (M3),0.954,0.978,0.024,0.031,0.0152,-0.0158,0.031,0.0152,1.05
Zero-Noise Extrapolation (ZNE),0.954,0.9865,0.0325,0.031,0.0094,-0.0216,0.031,0.0094,2.0
Combined M3 + ZNE Mitigation,0.954,0.9912,0.0372,0.031,0.0062,-0.0248,0.031,0.0062,2.1
