step,t_star,x_star_classical,x_star_carleman,x_star_quantum,err_x_star,h_star_classical,h_star_quantum,err_h_star,mass_classical,mass_quantum,rel_mass_err,pressure_classical,pressure_quantum,fidelity,qsvt_residual
1,0.01,1.0,0.5,1.0,0.0,0.5,0.5,0.0,4.726285245609771,4.72642230385239,2.8999147426943518e-05,-3.0538292543960725e-06,4.6448090005480026e-17,0.9864005548712667,9.067800251845941e-11
2,0.02,1.0,1.0,1.0,0.0,0.5,0.5,0.0,4.721853579980576,4.726422304159486,0.0009675700657641559,-6.777250876001681e-06,9.289618001495202e-17,0.9889129986894427,9.067813727065339e-11
5,0.05,1.0,1.0,1.0,0.0,0.5,0.5,0.0,4.715623865430436,4.726422305080771,0.0022899281109964955,-1.2944984677248347e-05,2.322404500673167e-16,0.9867963390280582,9.067813628054389e-11
10,0.1,1.0,1.0,1.0,0.0,0.5,0.5,0.0,4.7083227733047295,4.726422306616243,0.0038441572897538584,-2.1267688795280657e-05,4.644809002344193e-16,0.9747339403538763,9.067802379003517e-11
15,0.15,1.0,1.0,1.0,0.0,0.5,0.5,0.0,4.703497853933645,4.726422308151714,0.004873916164094098,-2.9745217988099536e-05,6.967213505013237e-16,0.9605295837289463,9.067816554261895e-11
20,0.2,1.0,1.0,1.0,0.0,0.5,0.5,0.0,4.700440823360836,4.726422309687187,0.005527457381704587,-3.603981628693936e-05,9.289618008680169e-16,0.9455213217930938,9.067805852856424e-11
