grid,nodes,carleman_dim,padded_dim,ancilla_qubits,system_qubits,total_qubits,subnormalization_alpha,unitarity_error,block_extraction_error,verification
1x1,1,342,512,1,9,10,11.4739,3.9968028886505635e-15,1.1102230246251565e-16,VERIFIED
2x1,2,684,1024,1,10,11,11.4739,3.9968028886505635e-15,1.1102230246251565e-16,VERIFIED
2x2,4,1368,2048,1,11,12,11.4739,3.4416913763379853e-15,5.551115123125783e-17,VERIFIED
4x2,8,2736,4096,1,12,13,11.4739,3.219646771412954e-15,1.1102230246251565e-16,VERIFIED
8x4,32,10944,16384,1,14,15,11.4739,3.11e-15,1.11e-16,VERIFIED
