step,t_star,classical_x_star,quantum_x_star,abs_err_x_star,rel_err_x_star,state_fidelity,rel_mass_error,qsvt_residual,condition_number_kappa,polynomial_degree
1,0.01,1.0,1.0,0.0,0.0,0.986401,2.9e-05,9.07e-11,1.1177,15
2,0.02,1.0,1.0,0.0,0.0,0.988913,0.000968,9.07e-11,1.1177,15
5,0.05,1.0,1.0,0.0,0.0,0.986796,0.00229,9.07e-11,1.1177,15
10,0.1,1.0,1.0,0.0,0.0,0.974734,0.00384,9.07e-11,1.1177,15
15,0.15,1.0,1.0,0.0,0.0,0.96053,0.00487,9.07e-11,1.1177,15
20,0.2,1.0,1.0,0.0,0.0,0.945521,0.00553,9.07e-11,1.1177,15
