case,N,D_C,D_pad,qubits,alpha,unitarity_linf,block_linf_err,block_frob_err,state_vec_err,build_time_s
N=1,1,342,512,10,11.5,2.4424906541753444e-15,4.3003138751518306e-16,2.298493283025278e-15,2.495701405936496e-16,0.46681249999892316
N=2,2,684,1024,11,11.5,2.886579864025407e-15,7.661510416704081e-16,2.698384919880801e-15,2.9102418992392006e-16,2.837530984001205
N=4,4,1368,2048,12,11.5,3.774758283725532e-15,1.817990202823694e-15,3.484370476133725e-15,3.2029890580687513e-16,33.61641576300099
N=8,8,2736,4096,13,11.5,4.3298697960381105e-15,1.1748414741052926e-15,3.681499118204428e-15,4.0902000629167457e-16,197.959869696002
