metric,sample_mean,sample_std,ci_95_lower,ci_95_upper,shot_noise_fit
Primary 2x2 Density Error,0.031,0.0002,0.0306,0.0314,1/sqrt(N_s)
Primary 2x2 Mitigated Error,0.0062,8e-05,0.006,0.0064,1/sqrt(N_s)
Primary 2x2 State Fidelity,0.954,0.0002,0.9536,0.9544,Depolarizing_Model
