step,l1_error,l2_error,linf_error,relative_mass_error,invariant_manifold_defect,classification
1,0.0007932734363849918,0.0007857291275660409,0.0002324943731849688,1.4363957867943193e-05,0.10708453777864645,MEASURED
5,0.004277232600701422,0.004954163233088997,0.0028531966235141315,0.0018229716422760486,0.07435004643214141,MEASURED
10,0.00532653688791623,0.0056427761248189715,0.0028361090165245906,0.003093348553763259,0.08637190341744062,MEASURED
20,0.00868400109496472,0.009518724204275903,0.004126807278800049,0.004548717445494605,0.10691561954769732,MEASURED
50,0.03149409560298274,0.03581965480727,0.01307007468973076,0.004354069729066649,0.13271899820989624,MEASURED
100,0.013289450192397856,0.014495996442254893,0.0063037602164691675,0.0033904867601386468,0.13718744605044444,MEASURED
200,0.011712872626596163,0.01052956070688905,0.003439801296833689,0.003389174007159851,0.1373441997546183,MEASURED
