protocol,fidelity_raw,fidelity_mitigated,tvd_raw,tvd_mitigated,density_error_raw,density_error_mitigated,overhead
Raw Output (Unmitigated),0.954,0.954,0.031,0.031,0.031,0.031,1.0
M3 Matrix Readout Mitigation,0.954,0.978,0.031,0.0152,0.031,0.0152,1.05
Zero-Noise Extrapolation (ZNE),0.954,0.9865,0.031,0.0094,0.031,0.0094,2.0
Combined M3 + ZNE Mitigation,0.954,0.9912,0.031,0.0062,0.031,0.0062,2.1
