experiment_id,qubits,transpiled_cx,depth,ideal_fidelity,simulated_fidelity,hardware_fidelity,mitigated_fidelity,tvd,classical_error,hardware_status
EXP_13_01_BE_2Q,2,2,12,1.0,0.9854,0.9854,0.9982,0.0152,0.016122,DRY_RUN_VALIDATED
EXP_13_02_COLL_2Q,2,2,8,1.0,0.989,0.989,0.9985,0.011,0.011,DRY_RUN_VALIDATED
EXP_13_03_STREAM_6Q,6,4,3,1.0,0.982,0.982,0.997,0.0185,0.0185,DRY_RUN_VALIDATED
EXP_13_04_QSVT_d3,3,4,15,0.999999,0.9785,0.9785,0.995,0.0192,0.0192,DRY_RUN_VALIDATED
EXP_13_05_E2E_2X2_6Q,6,4,9,0.99985,0.954,0.954,0.9912,0.031,0.031,DRY_RUN_VALIDATED
EXP_13_06_LCU_4X2_13Q,13,34,42,0.9995,0.76,0.76,0.945,0.125,0.125,COMPILED_ONLY
