grid,nodes,carleman_dim,system_qubits,total_qubits,matrix_nnz,sparse_ram_mb,dense_ram_gb,estimated_qsvt_gates,classification
1x1,1,342,9,10,4212,0.1,0.0017,375,MEASURED
4x2,8,2736,12,13,33696,0.79,0.1115,795,MEASURED
8x4,32,10944,14,15,134784,3.17,1.7847,2235,MEASURED
16x8,128,43776,16,17,539136,12.67,28.5557,7995,SIMULATED
32x16,512,175104,18,19,2156544,50.7,456.8906,31035,SIMULATED
64x32,2048,700416,20,21,8626176,202.78,7310.2,123195,SIMULATED
300x100,30000,10260000,24,25,126360000,2970.43,1568609.5,1800315,ANALYTICAL
