metric,mean,std_dev,conf_interval_95
Primary 2x2 Density Relative Error,0.031,0.0002,"[0.0306, 0.0314]"
Primary 2x2 Mitigated Density Error,0.0062,8e-05,"[0.0060, 0.0064]"
Primary 2x2 State Fidelity,0.954,0.0002,"[0.9536, 0.9544]"
