shots,empirical_error,sql_fit,ratio,regime
256,0.05214,0.0625,0.8342,SHOT_NOISE_DOMINATED
512,0.041,0.044194,0.9277,SHOT_NOISE_DOMINATED
1024,0.031,0.03125,0.992,BALANCED_REGIME
2048,0.0252,0.022097,1.1404,DECOHERENCE_LIMITED
4096,0.0211,0.015625,1.3504,DECOHERENCE_LIMITED
