strategy,fidelity,tvd,density_error,overhead_shots
Raw Hardware (Unmitigated),0.954,0.031,0.031,1.0
Readout Error Mitigation (M3 Matrix Inversion),0.978,0.0152,0.0152,1.05
"Zero-Noise Extrapolation (ZNE, Scale Factors 1, 3)",0.9865,0.0094,0.0094,2.0
Combined M3 + ZNE Mitigation,0.9912,0.0062,0.0062,2.1
