degree,qubits,cx_count,depth,ideal_residual,hardware_residual,fidelity,tvd,nisq_status
3,3,4,15,0.00096,0.0192,0.9785,0.0192,EXPERIMENTALLY_OPTIMAL
5,3,8,32,9.14e-05,0.042,0.931,0.042,NOISY_BUT_DETECTABLE
7,3,14,54,4.52e-06,0.089,0.865,0.089,DECOHERENCE_CROSSOVER
9,3,22,82,3.84e-07,0.165,0.782,0.165,UNSTABLE
11,3,30,110,1.62e-08,0.25,0.695,0.25,DECOHERENCE_REGIME
15,3,48,172,5.03e-11,0.65,0.421,0.65,TOTAL_DECOHERENCE
