step,l1_error,l2_error,linf_error,relative_velocity_error,relative_phase_error,relative_mass_error,invariant_manifold_defect,error_regime,classification
1,0.0007932734363849918,0.0007857291275660409,0.0002324943731849688,0.999999999765828,0.0004747285076777318,1.4363957867943193e-05,0.10708453777864645,SATURATED_BOUNDED,MEASURED
5,0.004277232600701422,0.004954163233088997,0.0028531966235141315,0.9999999999583906,0.004063425442067506,0.0018229716422760486,0.07435004643214141,SATURATED_BOUNDED,MEASURED
10,0.00532653688791623,0.0056427761248189715,0.0028361090165245906,0.9999999999830915,0.005131559995476243,0.003093348553763259,0.08637190341744062,SATURATED_BOUNDED,MEASURED
20,0.00868400109496472,0.009518724204275903,0.004126807278800049,0.999999999990328,0.009473728015677951,0.004548717445494605,0.10691561954769732,SATURATED_BOUNDED,MEASURED
50,0.03149409560298274,0.03581965480727,0.01307007468973076,0.9999999999944477,0.035744073333538476,0.004354069729066649,0.13271899820989624,SATURATED_BOUNDED,MEASURED
100,0.013289450192397856,0.014495996442254893,0.0063037602164691675,0.999999999995488,0.011684609776464943,0.0033904867601386468,0.13718744605044444,SATURATED_BOUNDED,MEASURED
200,0.011712872626596163,0.01052956070688905,0.003439801296833689,0.9999999999957593,0.003473920663165331,0.003389174007159851,0.1373441997546183,SATURATED_BOUNDED,MEASURED
