degree,max_poly_magnitude,parity_violation,linear_residual,relative_sol_error,fidelity,circuit_depth,phase_rotations,block_encoding_calls,target_1e8_met,target_1e10_met,target_1e12_met
3,0.9284613066655287,0.0,0.0009602737076950993,0.000965114682941381,0.9999990685630873,6,3,2,False,False,False
5,0.9500000000000001,0.0,9.144822259936694e-05,9.175443254082788e-05,0.9999999915821876,10,5,3,False,False,False
7,0.9500000000000002,0.0,4.521937174607385e-06,4.453893963538381e-06,0.9999999999801643,14,7,4,False,False,False
9,0.95,0.0,3.836513539100159e-07,3.851498651648568e-07,0.9999999999998517,18,9,5,False,False,False
11,0.9500000000000001,0.0,1.6195663823266682e-08,1.627265323913616e-08,1.0,22,11,6,False,False,False
15,0.9499999999999997,0.0,5.026027371671848e-11,5.049056235686415e-11,1.0,30,15,8,True,True,False
21,0.95,0.0,1.583649773799788e-14,1.5907218798714164e-14,0.9999999999999996,42,21,11,True,True,True
31,0.95,0.0,2.759652266588852e-15,2.764935686347488e-15,1.0,62,31,16,True,True,True
