degree,dense_qubits,structured_qubits,dense_cx_count,structured_cx_count,dense_transpiled_depth,structured_transpiled_depth,cx_reduction_factor,inversion_residual,hardware_feasibility
3,2,3,8,2,36,3,4.0,0.00096,GREEN (NISQ-Ready)
5,2,3,12,2,60,3,6.0,9.14e-05,GREEN (NISQ-Ready)
7,2,3,16,2,84,3,8.0,4.52e-06,YELLOW
11,2,3,24,2,132,3,12.0,1.62e-08,YELLOW
15,2,3,32,2,180,3,16.0,5.03e-11,RED
