degree,max_poly_magnitude,parity_violation,approx_error,linear_residual,relative_sol_error,fidelity,circuit_depth,phase_rotations,compilation_time_ms,satisfies_1e8,satisfies_1e10,satisfies_1e12,classification
3,0.9284613066655287,0.0,0.011951328572563407,0.0009602737076950993,0.000965114682941381,0.9999990685630873,6,3,993.6013070000627,False,False,False,MEASURED
5,0.9500000000000001,0.0,0.0005346184779111519,9.144822259936694e-05,9.175443254082788e-05,0.9999999915821876,10,5,1202.7061769986176,False,False,False,MEASURED
7,0.9500000000000002,0.0,2.6791227876692642e-05,4.521937174607385e-06,4.453893963538381e-06,0.9999999999801643,14,7,7847.218107999652,False,False,False,MEASURED
9,0.95,0.0,1.9151591609496065e-06,3.836513539100159e-07,3.851498651648568e-07,0.9999999999998517,18,9,4417.334966998169,False,False,False,MEASURED
11,0.9500000000000001,0.0,1.5597098213191202e-07,1.6195663823266682e-08,1.627265323913616e-08,1.0,22,11,1222.6253269982408,False,False,False,MEASURED
15,0.9499999999999997,0.0,2.98954724855338e-10,5.026027371671848e-11,5.049056235686415e-11,1.0,30,15,1281.6572039992025,True,True,False,MEASURED
21,0.95,0.0,8.090807903917433e-14,1.583649773799788e-14,1.5907218798714164e-14,0.9999999999999996,42,21,1185.6870699994033,True,True,True,MEASURED
31,0.95,0.0,6.899138522720292e-15,2.759652266588852e-15,2.764935686347488e-15,1.0,62,31,1169.362986998749,True,True,True,MEASURED
