shots,empirical_error,sql_theoretical,error_ratio,regime
1000,0.0312,0.031623,0.9866,BALANCED
5000,0.0195,0.014142,1.3788,DECOHERENCE_LIMITED
10000,0.0162,0.01,1.62,DECOHERENCE_LIMITED
20000,0.0154,0.007071,2.1779,DECOHERENCE_LIMITED
