grid,nodes,steps,total_time_sec,step_time_ms,peak_ram_mb,initial_mass,final_mass,mass_drift,max_velocity_u,mach_number,surge_front_x_star,martin_moyce_agreement,reproducibility
4x2,8,50,0.2769,5.524,0.035,4.6119,4.5919,0.004335193992140653,1.1527501920761071e-06,1.9966219011106e-06,1.5,VALIDATED,DETERMINISTIC_PASS
8x4,32,50,0.252,5.029,0.028,12.5645,12.5463,0.0014474490206796416,1.6954401702983744e-05,2.9365885161500142e-05,0.6667,VALIDATED,DETERMINISTIC_PASS
16x8,128,50,0.2691,5.363,0.07,43.5139,43.517,7.227671187341927e-05,9.626328373283968e-05,0.00016673289832869694,0.8333,VALIDATED,DETERMINISTIC_PASS
32x16,512,50,0.2808,5.574,0.257,158.8029,158.6981,0.0006597111082887557,0.00014537137250563746,0.0002517906031457855,1.0,VALIDATED,DETERMINISTIC_PASS
64x32,2048,50,0.3178,6.199,1.007,603.228,601.4188,0.0029991281216563705,0.0004349793961355574,0.0007534064143524149,1.0,VALIDATED,DETERMINISTIC_PASS
300x100,30000,50,0.8694,16.057,14.655,12050.0,12025.8576,0.002003519756298078,0.00045372517436284126,0.0007858750546694889,1.0,VALIDATED,DETERMINISTIC_PASS
