dt,sigma_min,sigma_max,condition_number_kappa,spectral_norm,kappa_below_1_5,residual,fidelity,required_degree_for_1e10,classification
0.001,0.994020911040953,1.0050225518003377,1.0110678162171283,1.0050225518003377,True,2.4934011530830207e-15,0.9999999999999998,15,MEASURED
0.005,0.9704006297341685,1.025405866373303,1.05668301828514,1.025405866373303,True,2.159577952004645e-13,0.9999999999999998,15,MEASURED
0.01,0.941544172124258,1.0515469356148637,1.1168322918322808,1.0515469356148637,True,5.026027371671848e-11,1.0,15,MEASURED
0.02,0.8860719307783642,1.1060448154788574,1.2482562386410978,1.1060448154788574,True,1.3155111026080813e-08,0.9999999999999998,21,MEASURED
0.05,0.7373466069607656,1.2871549054153606,1.7456578673641998,1.2871549054153606,False,2.9009707035469315e-05,0.9999999991311705,21,MEASURED
0.1,0.54442514118503,1.6437097353044434,3.019165741917499,1.6437097353044434,False,0.0025539863515744252,0.9999913335072815,21,MEASURED
