qubits,cx_count,depth,shots,fidelity,tvd,observable_error
2,2,8,1024,0.989,0.011,0.011
3,4,15,1024,0.9785,0.0192,0.0192
6,4,9,1024,0.954,0.031,0.031
13,34,42,1024,0.76,0.125,0.125
