circuit,shots,depol_rate,fidelity,tvd,density_error,mass_conservation_error,shot_uncertainty,dominant_regime
E2E_Structured_QLBM_2x2 (6Q),128,0.012,0.99962,0.01875,0.034486,0.0,0.088388,SHOT_NOISE
E2E_Structured_QLBM_2x2 (6Q),256,0.012,0.969819,0.057812,0.087771,0.0,0.0625,SHOT_NOISE
E2E_Structured_QLBM_2x2 (6Q),512,0.012,0.988484,0.03125,0.043918,0.0,0.044194,SHOT_NOISE
E2E_Structured_QLBM_2x2 (6Q),1024,0.012,0.984944,0.025391,0.039898,0.0,0.03125,SHOT_NOISE
E2E_Structured_QLBM_2x2 (6Q),2048,0.012,0.989585,0.015137,0.021854,0.0,0.022097,SHOT_NOISE
E2E_Structured_QLBM_2x2 (6Q),4096,0.012,0.985489,0.023926,0.042554,0.0,0.015625,SHOT_NOISE
E2E_Structured_QLBM_2x2 (6Q),8192,0.012,0.989988,0.015991,0.032574,0.0,0.011049,COHERENCE_LIMIT
