timestep_t,cx_cumulative,depth_cumulative,fidelity_t,tvd_t,density_error_pct,state_status
1,4,9,0.954,0.031,3.1,CLEAN_PRIMITIVE
2,8,18,0.9105,0.0625,6.25,DETECTABLE_SIGNAL
3,12,27,0.869,0.095,9.5,THRESHOLD_LIMIT
5,20,45,0.792,0.168,16.8,DECOHERENCE_LIMITED
10,40,90,0.627,0.385,38.5,HIGH_ERROR_REGIME
20,80,180,0.393,0.62,62.0,MIXED_NOISE_FLOOR
