degree,cx_count,depth,shots,ideal_residual,noisy_residual,raw_fidelity,mitigated_fidelity,tvd,status
3,4,15,1024,0.00096,0.0192,0.9785,0.995,0.0192,EXPERIMENTALLY_OPTIMAL
5,8,32,1024,9.14e-05,0.042,0.931,0.982,0.042,DETECTABLE_CONVERGENCE
7,14,54,1024,4.52e-06,0.089,0.865,0.951,0.089,DECOHERENCE_CROSSOVER
