label,N,dim,sig_A_max,sig_A_min,kappa_A,sig_M_max,sig_M_min,kappa_M,alpha_M
N=1 (1x1),1,18,2.343263771205042,0.26339716132382873,8.896313686251732,1.0145140557680459,0.9877283414823316,1.0271185032976928,1.0652397585564481
"N=1 (1x1, Order 2)",1,342,10.927523865562804,0.04481361948845966,243.84381333841156,1.0503569915249156,0.9411289154361682,1.1160606950835468,1.1028748411011613
"N=2 (2x1, Order 2)",2,684,10.927523865562813,0.04481361948845957,243.84381333841228,1.0515469356148637,0.9415441721242583,1.1168322918322804,1.104124282395607
"N=4 (2x2, Order 2)",4,1368,10.92752386556281,0.044813619488459286,243.84381333841372,1.0529578134545918,0.94211174263128,1.1176570313344383,1.1056057041273215
"N=8 (4x2, Order 2)",8,2736,10.927523865562819,0.04481361948845895,243.84381333841574,1.0548503284745,0.9422292639312466,1.119526179937742,1.107592844898225
"N=32 (8x4, Order 2)",32,10944,10.927523865562806,0.04481361948845957,243.8438133384121,1.0562690353905224,0.9422683782226096,1.1209853368771112,1.1090824871600486
