chebyshev_degree,coefficient
0,0.000000000000e+00
1,7.505499150203e-01
2,0.000000000000e+00
3,-4.586568291102e-01
4,0.000000000000e+00
5,2.387111497048e-01
6,0.000000000000e+00
7,-1.028898375190e-01
8,0.000000000000e+00
9,3.535862020608e-02
10,0.000000000000e+00
11,-9.133847946701e-03
12,0.000000000000e+00
13,1.590801229487e-03
14,0.000000000000e+00
15,-1.425567357232e-04
