experiment,ideal_fidelity,noisy_fidelity,hardware_dry_run_fidelity,observable_error,transpiled_cx,execution_status
Structured_Streaming_2x2 (6Q),1.0,0.982,0.982,0.0185,4,DRY_RUN_VALIDATED / AUTH_PENDING
Structured_Collision_2Q,1.0,0.989,0.989,0.011,2,DRY_RUN_VALIDATED / AUTH_PENDING
Structured_QSVT_d3 (3Q),0.999999,0.9785,0.9785,0.0192,4,DRY_RUN_VALIDATED / AUTH_PENDING
End_to_End_Structured_QLBM_2x2 (6Q),0.99985,0.954,0.954,0.031,6,DRY_RUN_VALIDATED / AUTH_PENDING
