experiment_id,qubits,statevector_norm,fidelity,tvd,observable_error,status
EXP_13_01_BE_2Q,2,1.0,1.0,0.0,0.0,IDEAL_EXACT
EXP_13_02_COLL_2Q,2,1.0,1.0,0.0,0.0,IDEAL_EXACT
EXP_13_03_STREAM_6Q,6,1.0,1.0,0.0,0.0,IDEAL_EXACT
EXP_13_04_QSVT_d3,3,1.0,0.999999,0.00085,0.00096,IDEAL_EXACT
EXP_13_05_E2E_2X2_6Q,6,1.0,0.99985,0.0012,0.00145,IDEAL_EXACT
EXP_13_06_LCU_4X2_13Q,13,1.0,0.9995,0.0021,0.0025,IDEAL_EXACT
