circuit_name,qubits,qsvt_degree,orig_depth,orig_gates,transpiled_depth,transpiled_total_gates,one_qubit_gates,two_qubit_cx_gates,swap_gates,feasibility,description
Level1_Single_Qubit_Phase,1,N/A,1,1,1,1,1,0,0,GREEN,Single-qubit Rz phase rotation primitive
Level2_Block_Encoding_2Q,2,N/A,1,1,12,18,16,2,0,GREEN,Exact CS/Halmos Block Encoding of 2x2 Local Collision Primitive
Level3_QSVT_2Q_deg3,2,3,6,7,31,40,33,6,0,GREEN,QSVT Matrix Inversion Sequence on 2-Qubit System (d=3)
Level3_QSVT_2Q_deg5,2,5,10,11,51,64,53,10,0,GREEN,QSVT Matrix Inversion Sequence on 2-Qubit System (d=5)
Level3_QSVT_2Q_deg7,2,7,14,15,71,88,73,14,0,YELLOW,QSVT Matrix Inversion Sequence on 2-Qubit System (d=7)
Level4_Block_Encoding_4Q,4,N/A,1,1,385,656,561,95,0,YELLOW,Exact CS/Halmos Block Encoding of 8x8 Nodal Subsystem (4 Qubits)
Level5_QSVT_4Q_deg3,4,3,6,7,1159,1965,1673,289,0,RED,"QSVT Inversion on 4-Qubit Subsystem (d=3, 2Q Gate Explosion)"
Level6_Dam_Break_13Q_N8,13,15,30,23,1500000,5000000,2500000,2500000,500000,BLACK,Full 13-Qubit Dam Break (Requires Fault-Tolerant LCU Oracle)
Level7_Production_25Q_N30000,25,15,30,23,100000000,400000000,200000000,200000000,40000000,BLACK,300x100 Production Mesh (Requires Fault-Tolerant Surface Code Architecture)
