experiment_id,shots,depol_rate,fidelity,tvd,density_error,shot_uncertainty,noise_regime
EXP_13_05_E2E_2X2_6Q,1000,0.012,0.983941,0.02,0.007064,0.031623,BALANCED
EXP_13_05_E2E_2X2_6Q,5000,0.012,0.989822,0.0152,0.029442,0.014142,DECOHERENCE_FLOOR
EXP_13_05_E2E_2X2_6Q,10000,0.012,0.98851,0.0143,0.029084,0.01,DECOHERENCE_FLOOR
EXP_13_05_E2E_2X2_6Q,20000,0.012,0.990163,0.0123,0.026538,0.007071,DECOHERENCE_FLOOR
