timesteps_Nt,1_discretization_err,2_lbm_bgk_err,3_low_mach_taylor_err,4_carleman_trunc_err,5_poly_equilibrium_err,6_csf_stencil_err,7_boundary_slip_err,8_block_encode_precision,9_qsvt_inversion_err,10_state_prep_err,11_shot_noise_10k_shots,12_hardware_noise_accum,total_algorithmic_rss_err
1,4.9e-05,0.00025,1.3e-05,2.5e-05,6e-06,2e-05,0.000313,1.28e-14,0.001,0.0005,0.01,0.2217,0.01007
2,6.9e-05,0.00025,2.5e-05,5e-05,6e-06,2e-05,0.000313,1.28e-14,0.001,0.0005,0.01,0.3942,0.010071
5,0.000109,0.00025,6.3e-05,0.000125,6e-06,2e-05,0.000313,1.28e-14,0.001,0.0005,0.01,0.7144,0.010072
10,0.000154,0.00025,0.000125,0.00025,6e-06,2e-05,0.000313,1.28e-14,0.001,0.0005,0.01,0.9184,0.010075
20,0.000218,0.00025,0.00025,0.0005,6e-06,2e-05,0.000313,1.28e-14,0.001,0.0005,0.01,0.9933,0.010088
50,0.000345,0.00025,0.000625,0.00125,6e-06,2e-05,0.000313,1.28e-14,0.001,0.0005,0.01,1.0,0.010173
100,0.000488,0.00025,0.00125,0.0025,6e-06,2e-05,0.000313,1.28e-14,0.001,0.0005,0.01,1.0,0.010462
