case_name,true_rho,readout_rho,error_rho,true_alpha,readout_alpha,error_alpha,true_jx,readout_jx,error_jx
"Liquid Core Node (alpha=1.0, rho=1.0, u=0.0)",1.0,1.0,2.2204e-16,1.0,1.0,2.2204e-16,0.0,0.0,0.0000e+00
"Gas Phase Node (alpha=0.0, rho=0.1, u=0.0)",0.1,0.1,1.3878e-17,0.0,0.0,0.0000e+00,0.0,0.0,0.0000e+00
"Diffuse Interface Node (alpha=0.5, rho=0.55, u=0.0)",0.55,0.55,0.0000e+00,0.5,0.5,5.5511e-17,0.0,0.0,0.0000e+00
"Moderate Flow Node (alpha=0.8, rho=1.0, u=[0.05, 0.02])",1.0,1.0,1.1102e-16,0.8,0.8,2.2204e-16,0.05,0.05,6.9389e-18
"Surge Front High Flow (alpha=1.0, rho=1.0, u=[0.10, 0.05])",1.0,1.0,3.3307e-16,1.0,1.0,2.2204e-16,0.1,0.1,0.0000e+00
