timestep,manifold_defect_no_relift,z_norm,Y2_norm,verdict
1,2.003705e-16,4.110547e-01,1.689660e-01,PRESERVED
2,5.084294e-16,2.791458e-01,7.792237e-02,PRESERVED
4,5.374443e-16,3.079845e-01,9.485443e-02,PRESERVED
8,8.672695e-16,3.174743e-01,1.007899e-01,PRESERVED
16,1.085673e-15,3.181935e-01,1.012471e-01,PRESERVED
32,1.835589e-15,3.181981e-01,1.012500e-01,PRESERVED
