mesh,nx,ny,grid_spacing_h,rho_rel_l2_error_T10,alpha_rel_l2_error_T10,observed_order_p_alpha
16x8,16,8,1.0,0.632218,0.317177,0.0
32x16,32,16,0.5,0.419518,0.183121,0.792
64x32,64,32,0.25,0.303524,0.125696,0.543
128x64,128,64,0.125,0.211651,0.085991,0.548
256x128,256,128,0.0625,0.148507,0.059723,0.526
