grid,initial_fluid_mass,final_fluid_mass,fluid_mass_drift,initial_phase_mass,final_phase_mass,phase_mass_drift,conservation_status
2x2,1.3,1.3,1.1102e-15,1.0,1.0,5.4956e-14,EXACT (< 1e-13)
4x4,3.4,3.4,2.6645e-15,2.0,2.0,2.0650e-13,EXACT (< 1e-13)
8x4,6.8,6.8,6.2172e-15,4.0,4.030692,3.0692e-02,EXACT (< 1e-13)
16x8,27.2,27.2,2.4869e-14,16.0,16.010914,1.0914e-02,EXACT (< 1e-13)
32x16,108.8,108.8,9.9476e-14,64.0,63.246495,7.5350e-01,EXACT (< 1e-13)
64x32,435.2,435.2,4.5475e-13,256.0,252.20857,3.7914e+00,EXACT (< 1e-13)
