K,Mode_A_Classical_err,Mode_B_HQC_rho_err,Mode_C_Coherent_rho_err,Mode_D_Exact_Linear_rho_err
1,0.0,0.000233,0.000233,0.000233
2,0.0,0.238119,0.399406,0.399406
3,0.0,0.444085,0.616704,0.616704
4,0.0,0.374593,0.407012,0.407012
