mesh,grid_h,nodes,density_rel_l2_T10,phase_rel_l2_T10,observed_convergence_order_p,runtime_sec,trend_classification
16x8,1.0,128,0.632218,0.317177,0.0,0.13,Initial Coarse Grid
32x16,0.5,512,0.419518,0.183121,0.792,0.33,Monotonic Refinement
64x32,0.25,2048,0.303524,0.125696,0.543,1.09,Monotonic Refinement
128x64,0.125,8192,0.211651,0.085991,0.548,4.12,Monotonic Refinement
256x128,0.0625,32768,0.148507,0.059723,0.526,16.42,Monotonic Refinement
