grid_name,nx,ny,nodes,qubits_required,rho_rel_l2_error,alpha_rel_l2_error,front_x_star,height_h_star,runtime_sec
16x8,16,8,128,13,0.536332,0.24808,0.0,0.0,0.204
32x16,32,16,512,15,0.791606,0.336264,0.0,0.0,0.637
64x32,64,32,2048,17,0.484756,0.215559,1.125,1.125,2.271
128x64,128,64,8192,19,0.338633,0.151737,1.0625,1.0625,8.566
