timestep,rho_rel_l2,alpha_rel_l2,u_rel_l2,liquid_mass_drift
1,0.0,0.0,0.0,0.0
2,0.000126,0.0001,0.005154,1e-05
5,0.166039,0.058456,0.591878,0.003147
10,0.303524,0.125696,0.544665,0.01088
15,0.3996,0.176487,0.526705,0.015344
20,0.484756,0.215559,0.529296,0.015323
30,0.692104,0.28893,0.459475,0.015284
40,0.857845,0.332967,0.451731,0.015281
50,0.926308,0.323433,0.5615,0.015281
