component,flag,divergence_L2,status
Collision Unitary,kill_collision,4.2180e-01,VERIFIED
Streaming Permutation,kill_streaming,3.8420e-01,VERIFIED
Boundary Involution,kill_boundary,2.1050e-01,VERIFIED
Gravity Body Force,kill_gravity,1.4500e-02,VERIFIED
