K,f_err,g_err,rho_err,alpha_err,norm_Y,norm_z,norm_quad,p_succ
1,0.000325,0.000321,0.000233,0.000267,1.239,1.0173,0.7072,0.01055818356725215
2,0.426995,0.237291,0.399406,0.204914,0.7615,0.6926,0.3165,0.00011147524023979334
3,0.734716,0.306608,0.616704,0.14853,0.7788,0.7196,0.2976,1.1769760496552716e-06
4,0.710366,0.301127,0.407012,0.204956,0.6948,0.6327,0.2873,1.242672918651964e-08
5,0.503006,0.339353,0.445495,0.329147,0.6352,0.5765,0.2668,1.3120368789180434e-10
6,0.614878,0.385664,0.519452,0.322864,0.6596,0.6047,0.2634,1.3852726214621286e-12
8,0.495868,0.228059,0.444085,0.147531,0.617,0.5598,0.2594,1.544235982750991e-16
10,0.500721,0.117731,0.396761,0.098476,0.6133,0.5565,0.2578,1.7214407716410007e-20
