K_steps,HQC_state_readouts,HQC_state_preparations,Level6A_state_readouts,Level6A_state_preparations,readout_reduction_factor
1,1,1,1,1,1x
2,2,2,1,1,2x
3,3,3,1,1,3x
4,4,4,1,1,4x
