K_powers,unprojected_leakage_error,unprojected_percentage,projected_reset_error,alpha_C,base_p0,oaa_best_m,oaa_p_m
1,5.74899210604007e-17,0.00%,5.74899210604007e-17,2.3646018351042724,0.17884794542524943,1,0.9334851743649245
2,3.977440336021113,397.74%,2.496787783477954e-16,2.3646018351042724,0.17884794542524943,1,0.9334851743649245
4,21.21114024578536,2121.11%,3.102573007771182e-16,2.3646018351042724,0.17884794542524943,1,0.9334851743649245
8,651.9990448650393,65199.90%,3.4841565066263714e-16,2.3646018351042724,0.17884794542524943,1,0.9334851743649245
16,636850.3768958518,63685037.69%,2.5373839172921515e-16,2.3646018351042724,0.17884794542524943,1,0.9334851743649245
