timestep_T,rho_rel_l2_error,alpha_rel_l2_error,u_rel_l2_error,mass_drift_rel,front_x_star_6B,front_x_star_Ref,height_h_star_6B,height_h_star_Ref,quantum_calls_cumulative
1,0.0,0.0,0.0,0.0,0.9375,0.9375,0.9375,0.9375,2048
2,0.000126,0.0001,0.005154,1e-05,0.9375,0.9375,0.9375,0.9375,4096
5,0.166039,0.058456,0.591878,0.003147,1.0,0.9375,1.0,0.9375,10240
10,0.303524,0.125696,0.544665,0.01088,1.0,1.0,1.0,1.0,20480
20,0.484756,0.215559,0.529296,0.015323,1.125,1.0625,1.125,1.0625,40960
30,0.692104,0.28893,0.459475,0.015284,0.0,1.125,0.0,1.0625,61440
40,0.857845,0.332967,0.451731,0.015281,0.0,0.8125,0.0,0.75,81920
50,0.926308,0.323433,0.5615,0.015281,0.0,0.0,0.0,0.0,102400
