K_timesteps,unprojected_leakage,projected_reset_error,raw_p_succ,oaa_m1_p_succ
1,0.0000e+00,0.0000e+00,2.3457e-01,0.9971 (99.71%)
2,3.0005e+00,0.0000e+00,5.5022e-02,0.9942 (99.42%)
4,1.2321e+01,0.0000e+00,3.0275e-03,0.9884 (98.84%)
8,2.2034e+02,0.0000e+00,9.1656e-06,0.9769 (97.69%)
16,7.2736e+04,0.0000e+00,8.4008e-11,0.9543 (95.43%)
