power_K,dilation_leakage_L2,relative_leakage,A_K_norm,verdict
1,0.000000e+00,0.000000e+00,9.523810e-01,EXACT
2,1.000000e+00,1.041694e+01,9.599746e-02,LEAKAGE (P U^K P != A^K)
4,1.000000e+00,1.710439e+02,5.846452e-03,LEAKAGE (P U^K P != A^K)
8,1.000000e+00,6.117564e+04,1.634638e-05,LEAKAGE (P U^K P != A^K)
16,1.000000e+00,8.398574e+09,1.190678e-10,LEAKAGE (P U^K P != A^K)
