timestep,f_error_Linf,g_error_Linf,rho_error_Linf,mass_total,phase_mass,status
1,3.9654e-04,4.0827e-04,2.1598e-03,5.171875,3.994141,VALIDATED
2,7.9821e-02,2.7701e-02,2.4172e-01,5.124512,3.947021,VALIDATED
4,1.9153e-01,9.4543e-02,2.2157e-01,5.035400,3.857422,VALIDATED
8,6.9279e-02,9.0659e-02,1.4187e-01,4.848389,3.680420,VALIDATED
16,3.4490e-02,2.9983e-02,6.8441e-02,4.469727,3.333252,VALIDATED
