K_coherent_steps,f_rel_l2_error,g_rel_l2_error,rho_rel_l2_error,alpha_rel_l2_error,mass_diff_rel,p_success_K
1,0.000325,0.000321,0.000233,0.000267,0.0,0.01055818356725215
2,0.426995,0.237291,0.399406,0.204914,0.128748,0.00011147524023979334
3,0.734716,0.306608,0.616704,0.14853,0.082474,1.1769760496552716e-06
4,0.710366,0.301127,0.407012,0.204956,0.026661,1.242672918651964e-08
