Mach_number,velocity_u,density_rho,relative_collision_error,relative_percentage
0.005,0.002887,1.000012,1.4739e-15,0.000000%
0.01,0.005774,1.00005,9.7697e-14,0.000000%
0.02,0.011547,1.0002,6.2476e-12,0.000000%
0.05,0.028868,1.00125,1.5260e-09,0.000000%
0.1,0.057735,1.005,9.7834e-08,0.000010%
