state_type,tensor_invariance_error,relative_error_pct,manifold_preserved
Random Field,0.9003,90.03,False
Uniform Liquid,0.0,0.0,True
Uniform Gas,0.0,0.0,True
Perturbed Phase Interface,0.920358,92.04,False
Dam-Break t=0,0.624112,62.41,False
