timestep,rho_err_Linf,alpha_err_Linf,force_err_Linf,velocity_err_Linf,f_rel_L2_err,g_rel_L2_err,f_Linf_err,g_Linf_err,verdict
1,0.0000e+00,0.0000e+00,2.1684e-19,1.2500e-03,4.8892e-16,2.1552e-15,2.7756e-16,9.9920e-16,PASSED (< 1e-14)
2,3.3307e-16,1.6653e-15,3.6407e-04,1.4833e-01,5.5491e-16,6.1075e-15,2.2204e-16,1.2768e-15,PASSED (< 1e-14)
3,2.2204e-16,2.7200e-15,2.9919e-04,1.3419e-01,5.9120e-16,1.2849e-14,1.6653e-16,1.8041e-15,PASSED (< 1e-14)
4,3.3307e-16,4.3854e-15,1.1025e-04,2.5352e-01,6.1253e-16,2.0990e-14,1.3878e-16,2.6507e-15,PASSED (< 1e-14)
5,2.2204e-16,6.2728e-15,4.7244e-05,1.8652e-01,6.0297e-16,2.9831e-14,1.1102e-16,3.4417e-15,PASSED (< 1e-14)
