grid_size,logical_qubits,hilbert_dim,streaming_matrix_error,boundary_unitarity_error,boundary_involution_error,transpiled_depth,two_qubit_gates,total_gates,transpilation_time_sec,target_backend,validation_status
2x2,7,128,3.8594e-14,0.0000e+00,0.0000e+00,604,214,882,0.039,IBM FakeSherbrooke (127Q Heavy-Hex),PASSED (Machine Precision)
4x4,9,512,9.9201e-14,0.0000e+00,0.0000e+00,929,362,1330,0.104,IBM FakeSherbrooke (127Q Heavy-Hex),PASSED (Machine Precision)
