Moment_Index,Symbol,Physical_Meaning,Sector,Orthogonal_Norm_Squared,Basis_Coefficients,M_Inv_M_Minus_I_Norm,M_M_Inv_Minus_I_Norm
0,rho,"rho (density, conserved)",Conserved,9.0,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",6.88e-16,7.29e-16
1,e,"e (energy, non-eq)",Non-Equilibrium,36.0,"[np.int64(-4), np.int64(-1), np.int64(-1), np.int64(-1), np.int64(-1), np.int64(2), np.int64(2), np.int64(2), np.int64(2)]",6.88e-16,7.29e-16
2,epsilon,"epsilon (energy sq, non-eq)",Non-Equilibrium,36.0,"[np.int64(4), np.int64(-2), np.int64(-2), np.int64(-2), np.int64(-2), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",6.88e-16,7.29e-16
3,jx,"jx (x-momentum, conserved)",Conserved,6.0,"[np.int64(0), np.int64(1), np.int64(0), np.int64(-1), np.int64(0), np.int64(1), np.int64(-1), np.int64(-1), np.int64(1)]",6.88e-16,7.29e-16
4,qx,"qx (heat flux x, non-eq)",Non-Equilibrium,12.0,"[np.int64(0), np.int64(-2), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(-1), np.int64(-1), np.int64(1)]",6.88e-16,7.29e-16
5,jy,"jy (y-momentum, conserved)",Conserved,6.0,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(-1), np.int64(1), np.int64(1), np.int64(-1), np.int64(-1)]",6.88e-16,7.29e-16
6,qy,"qy (heat flux y, non-eq)",Non-Equilibrium,12.0,"[np.int64(0), np.int64(0), np.int64(-2), np.int64(0), np.int64(2), np.int64(1), np.int64(1), np.int64(-1), np.int64(-1)]",6.88e-16,7.29e-16
7,pxx,"pxx (normal stress, non-eq)",Non-Equilibrium,4.0,"[np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(-1), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",6.88e-16,7.29e-16
8,pxy,"pxy (shear stress, non-eq)",Non-Equilibrium,4.0,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(-1), np.int64(1), np.int64(-1)]",6.88e-16,7.29e-16
