Kraus_Index,Environment_Label,Frobenius_Norm,Matrix_Rank,Mapped_States,Target_Equilibria
0,|e=0>_E,2.2361,5,"[0, 3, 5, 6, 7]","[0, 3, 5, 6, 7]"
1,|e=1>_E,1.4142,2,"[1, 4]","[0, 3]"
2,|e=2>_E,1.0000,1,[2],[0]
