Flow_Condition,Input_rho,Output_rho,Delta_rho,Delta_jx,Delta_jy,Exact_Conservation
Rest state liquid,1.0000,1.0000,0.00e+00,2.78e-17,9.71e-17,YES
Rest state gas,0.1000,0.1000,1.39e-17,3.47e-18,8.24e-18,YES
Horizontal flow,1.0000,1.0000,1.11e-16,1.39e-17,6.25e-17,YES
Diagonal surge front,1.0000,1.0000,0.00e+00,4.16e-17,6.94e-17,YES
High shear vortex,0.8000,0.8000,0.00e+00,4.86e-17,2.78e-17,YES
