Time_t_over_tc,Level4_Surge_x_over_L,QLBM_Surge_x_over_L,Martin_Moyce_Surge,Rel_Error_Surge,Level4_Height_y_over_H,QLBM_Height_y_over_H
0.00,1.00,1.00,1.00,0.00%,1.00,1.00
0.50,1.28,1.30,1.31,1.54%,0.82,0.81
1.00,1.62,1.66,1.68,2.47%,0.58,0.56
1.50,2.10,2.16,2.18,2.76%,0.38,0.36
2.00,2.65,2.74,2.75,3.28%,0.22,0.21
