Grid_Size,Total_Nodes,Data_Qubits,Environment_Qubits,Work_Qubits,Total_Logical_Qubits,Circuit_Depth,2Q_Gates,Toffoli_Gates,Active_Resets_Per_Step,Hardware_Tier
2x2,4,1152,192,192,1536,18200,121856,30464,192,NISQ Demonstrator
4x4,16,4608,768,768,6144,18200,487424,121856,768,Fault-Tolerant QC
8x4,32,9216,1536,1536,12288,18200,974848,243712,1536,Fault-Tolerant QC
8x8,64,18432,3072,3072,24576,18200,1949696,487424,3072,Fault-Tolerant QC
16x8,128,36864,6144,6144,49152,18200,3899392,974848,6144,Fault-Tolerant QC
32x16,512,147456,24576,24576,196608,18200,15597568,3899392,24576,Fault-Tolerant QC
64x32,2048,589824,98304,98304,786432,18200,62390272,15597568,98304,Fault-Tolerant QC
128x64,8192,2359296,393216,393216,3145728,18200,249561088,62390272,393216,Fault-Tolerant QC
